Product code;Product name;Category;Price;Features;Quantity;Taxes;Date added;Status;Language;Weight;Min quantity;List price;Shipping freight;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Description;Meta keywords;Meta description;Search words;Page title;Options;Secondary categories;SEO name;Short description;Localizations;Max quantity;Quantity step;List qty count;Out of stock actions;Product URL;Image URL;Detailed image URL;Box size;Items in box;Store
"9324491";"PEHA-HAFT:  самофиксирующийся бинт 20 м х 10 см";"Медицинские расходные материалы///Бинты///Бинты фиксирующие когезивные";"491.70";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"peha-haft-samofiksiruyuschiysya-bint-20-m-h-10-sm";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-kogezivnye/peha-haft-samofiksiruyuschiysya-bint-20-m-h-10-sm.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9324501";"PEHA-HAFT:  самофиксирующийся бинт 20 м х 12 см";"Медицинские расходные материалы///Бинты///Бинты фиксирующие когезивные";"620.84";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"peha-haft-samofiksiruyuschiysya-bint-20-m-h-12-sm";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-kogezivnye/peha-haft-samofiksiruyuschiysya-bint-20-m-h-12-sm.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9316217";"LASTOTEL /белые/: фиксирующий бинт 4 м х 4 см ";"Медицинские расходные материалы///Бинты///Бинты фиксирующие из полиамида и вискозы";"18.15";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"lastotel-belye-fiksiruyuschiy-bint-4-m-h-4-sm";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-iz-poliamida-i-viskozy/lastotel-belye-fiksiruyuschiy-bint-4-m-h-4-sm.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9316235";"LASTOTEL /белые/: фиксирующий бинт4 м х 6 см";"Медицинские расходные материалы///Бинты///Бинты фиксирующие из полиамида и вискозы";"23.76";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"lastotel-belye-fiksiruyuschiy-bint4-m-h-6-sm";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-iz-poliamida-i-viskozy/lastotel-belye-fiksiruyuschiy-bint4-m-h-6-sm.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9316244";"LASTOTEL /белые/: фиксирующий бинт 4 м х 8 см";"Медицинские расходные материалы///Бинты///Бинты фиксирующие из полиамида и вискозы";"26.01";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"lastotel-belye-fiksiruyuschiy-bint-4-m-h-8-sm";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-iz-poliamida-i-viskozy/lastotel-belye-fiksiruyuschiy-bint-4-m-h-8-sm.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9316253";"LASTOTEL /белые/: фиксирующий бинт 4 м х 10 см";"Медицинские расходные материалы///Бинты///Бинты фиксирующие из полиамида и вискозы";"31.68";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"lastotel-belye-fiksiruyuschiy-bint-4-m-h-10-sm";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-iz-poliamida-i-viskozy/lastotel-belye-fiksiruyuschiy-bint-4-m-h-10-sm.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9324481";"PEHA-HAFT:  самофиксирующийся бинт 20 м х 8 см ";"Медицинские расходные материалы///Бинты///Бинты фиксирующие когезивные";"399.96";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"peha-haft-samofiksiruyuschiysya-bint-20-m-h-8-sm";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-kogezivnye/peha-haft-samofiksiruyuschiysya-bint-20-m-h-8-sm.html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9324371";"PEHA-HAFT: самофиксирующийся бинт  20 м х 6 см; 6 шт.";"Медицинские расходные материалы///Бинты///Бинты фиксирующие когезивные";"1977.14";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"peha-haft-samofiksiruyuschiysya-bint-20-m-h-6-sm-6-sht.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-kogezivnye/peha-haft-samofiksiruyuschiysya-bint-20-m-h-6-sm-6-sht..html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9324381";"PEHA-HAFT:  самофиксирующийся бинт 20 м х 8 см; 6 шт.";"Медицинские расходные материалы///Бинты///Бинты фиксирующие когезивные";"2412.19";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"peha-haft-samofiksiruyuschiysya-bint-20-m-h-8-sm-6-sht.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-kogezivnye/peha-haft-samofiksiruyuschiysya-bint-20-m-h-8-sm-6-sht..html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
"9324391";"PEHA-HAFT:  самофиксирующийся бинт20  м х 10 см; 6 шт.";"Медицинские расходные материалы///Бинты///Бинты фиксирующие когезивные";"2926.55";"";"1";"";"08 Apr 2014 00:00:00";"A";"ru";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"peha-haft-samofiksiruyuschiysya-bint20-m-h-10-sm-6-sht.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/binty-ru/binty-fiksiruyuschie-kogezivnye/peha-haft-samofiksiruyuschiysya-bint20-m-h-10-sm-6-sht..html";"";"";"length:0;width:0;height:0";"min:0;max:0";"Компания Здравимпэкс"
