Product code;Language;Price;Lower limit;User group;Percentage discount
"D00014MK1P";"ru";"5399.99";"1";"Все";"0"
"E0004UBR1Y";"ru";"699.99";"1";"Все";"0"
"B0005QJH6U";"ru";"899.99";"1";"Все";"0"
"T0006UROBG";"ru";"329.99";"1";"Все";"0"
"A0007DQ1TL";"ru";"55.00";"1";"Все";"0"
"W0008TGVI1";"ru";"849.99";"1";"Все";"0"
"F0009ORD06";"ru";"999.99";"1";"Все";"0"
"L00102FQ97";"ru";"1199.99";"1";"Все";"0"
"Z0011CZSNI";"ru";"30.00";"1";"Все";"0"
"U0012O5AF0";"ru";"30.00";"1";"Все";"0"
"J00133PNYZ";"ru";"11.96";"1";"Все";"0"
"M0014IVPFH";"ru";"499.99";"1";"Все";"0"
"H0015EXYM6";"ru";"150.00";"1";"Все";"0"
"H00162EP2P";"ru";"349.99";"1";"Все";"0"
"G0017HS88V";"ru";"11.16";"1";"Все";"0"
"W0018W504I";"ru";"299.99";"1";"Все";"0"
"J001933ZYZ";"ru";"79.99";"1";"Все";"0"
"M00209NIOG";"ru";"19.95";"1";"Все";"0"
"J00216UKRV";"ru";"29.99";"1";"Все";"0"
"F0022TLB3Q";"ru";"799.99";"1";"Все";"0"
"G0023968XZ";"ru";"599.99";"1";"Все";"0"
"R0024KODQ2";"ru";"449.99";"1";"Все";"0"
"R0025KFF65";"ru";"599.99";"1";"Все";"0"
"K00264EGJK";"ru";"34.99";"1";"Все";"0"
"G0027IR79N";"ru";"55.00";"1";"Все";"0"
"R0028P1EHQ";"ru";"100.00";"1";"Все";"0"
"T0029EAW9R";"ru";"199.95";"1";"Все";"0"
"H00305TUE7";"ru";"349.95";"1";"Все";"0"
"D0031VJD0L";"ru";"32.00";"1";"Все";"0"
"T0032Q3082";"ru";"299.99";"1";"Все";"0"
"W00336L5NA";"ru";"169.99";"1";"Все";"0"
"W00341JAWN";"ru";"25.00";"1";"Все";"0"
"Z0035X590V";"ru";"31.99";"1";"Все";"0"
"B0036NZ0FU";"ru";"51.00";"1";"Все";"0"
"L00379540B";"ru";"159.95";"1";"Все";"0"
"U003826PEJ";"ru";"16.97";"1";"Все";"0"
"X0039CB6XW";"ru";"419.00";"1";"Все";"0"
"A0040LYF7M";"ru";"229.00";"1";"Все";"0"
"I0041AGKCY";"ru";"35.00";"1";"Все";"0"
"K0042BKTKR";"ru";"79.00";"1";"Все";"0"
"N0043XCGKY";"ru";"369.00";"1";"Все";"0"
"A0044UQ78W";"ru";"25.00";"1";"Все";"0"
"Q0045PT1DZ";"ru";"74.00";"1";"Все";"0"
"T00466CBMY";"ru";"21.00";"1";"Все";"0"
"J0047KCW09";"ru";"29.99";"1";"Все";"0"
"O0048N7QAG";"ru";"180.00";"1";"Все";"0"
"Q0049IN199";"ru";"120.00";"1";"Все";"0"
"V0050M1GB0";"ru";"220.00";"1";"Все";"0"
"H0051EAJD8";"ru";"180.00";"1";"Все";"0"
"I0052GDLN3";"ru";"139.99";"1";"Все";"0"
"B0053N10L0";"ru";"38.99";"1";"Все";"0"
"I0054QMMPO";"ru";"269.00";"1";"Все";"0"
"N005510VYI";"ru";"359.00";"1";"Все";"0"
"L0056LL3EL";"ru";"220.00";"1";"Все";"0"
"R0057SFAR6";"ru";"309.00";"1";"Все";"0"
"I0058SG177";"ru";"779.00";"1";"Все";"0"
"Q0059PALYI";"ru";"599.00";"1";"Все";"0"
"O0060X7Y9Y";"ru";"1499.00";"1";"Все";"0"
"F00620YZ55";"ru";"209.95";"1";"Все";"0"
"J0063Z8JWN";"ru";"189.95";"1";"Все";"0"
"V0064ZVR98";"ru";"189.95";"1";"Все";"0"
"O0065SHTHB";"ru";"99.95";"1";"Все";"0"
"B00666E71X";"ru";"389.95";"1";"Все";"0"
"J00670N9NC";"ru";"339.99";"1";"Все";"0"
"U00684Y11J";"ru";"799.99";"1";"Все";"0"
"U0069R50SC";"ru";"529.99";"1";"Все";"0"
"Y0070SQYFT";"ru";"499.99";"1";"Все";"0"
"O0071FR7HZ";"ru";"529.99";"1";"Все";"0"
"N007221KA0";"ru";"599.99";"1";"Все";"0"
"M0073Q30SG";"ru";"589.99";"1";"Все";"0"
"S0074AE6U7";"ru";"524.99";"1";"Все";"0"
"B00755AJUD";"ru";"489.99";"1";"Все";"0"
"W00769N690";"ru";"439.99";"1";"Все";"0"
"C0117E8CC7";"ru";"729.99";"1";"Все";"0"
"L0078RO9Y9";"ru";"100.00";"1";"Все";"0"
"Z0079TIUPW";"ru";"96.00";"1";"Все";"0"
"M0080Z1B49";"ru";"55.00";"1";"Все";"0"
"Y0081TT6SI";"ru";"49.50";"1";"Все";"0"
"S0082Z8OYM";"ru";"19.99";"1";"Все";"0"
"X0083AILW7";"ru";"19.99";"1";"Все";"0"
"P0084TFPRL";"ru";"19.99";"1";"Все";"0"
"W0085XKO7V";"ru";"19.99";"1";"Все";"0"
"I0086KA0W2";"ru";"359.00";"1";"Все";"0"
"U008775P3X";"ru";"19.99";"1";"Все";"0"
"E0088Z4YB8";"ru";"39.99";"1";"Все";"0"
"O0089OKQAX";"ru";"19.99";"1";"Все";"0"
"Y0090CLU50";"ru";"19.99";"1";"Все";"0"
